quarter,Consumption,Government,Investment,Exports,Imports,CPI,Population,Unemployment_rate,M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,GDPC1,TPUQ,TARIFFVOL
1995Q4,643788,303017,233966,383332,305453,87.86666666666667,29396274,9.3,289.92333333333335,273.4066666666667,396.06,304.8233333333333,369.8333333333333,184.82666666666668,664.1899999999999,11528.067,29.92530124441863,0.0796093
1996Q1,652580,303238,239120,384408,312064,88.2,29446857,9.5,290.43,262.78333333333336,442.41,301.15000000000003,341.07666666666665,186.5133333333333,627.3966666666666,11614.418,41.59061417666116,0.056972587
1996Q2,653817,303211,239181,399326,311577,88.83333333333333,29514217,9.433333,298.65000000000003,269.99333333333334,456.0366666666667,294.4433333333333,342.61,207.85666666666663,628.4033333333333,11808.14,35.02526099064509,0.10434209
1996Q3,656569,298582,248949,407651,323611,89,29610218,9.666667,295.1,264.1666666666667,460.2766666666666,276.5833333333333,354.7166666666667,193.27,637.3100000000001,11914.063,28.39533375518857,0.081773629
1996Q4,668593,297912,260828,396761,330574,89.66666666666667,29708206,9.833333,302.82,256.9166666666667,533.25,275.39,354.1333333333334,173.49,810.13,12037.775,29.72969415616603,0.198809635
1997Q1,680192,300334,265675,419228,350712,90.10000000000001,29751536,9.433333,296.81,253.74666666666667,519.3866666666667,288.77666666666664,340.12666666666667,168.39,877.1633333333333,12115.472,30.74822950668501,0.17004367
1997Q2,686054,298101,272867,424556,358495,90.23333333333333,29818012,9.3,281.18333333333334,256.3333333333333,427.09,286.77333333333337,343.7933333333333,172.97666666666666,881.1666666666666,12317.221,33.36379156486056,0.171514449
1997Q3,695004,298712,281110,436775,373575,90.53333333333335,29905948,8.866666999999998,275.02333333333337,247.39,429.79333333333335,284.44666666666666,325.72333333333336,169.53666666666666,740.64,12471.01,30.58923239667055,0.167406683
1997Q4,699756,298651,283836,444657,379040,90.56666666666666,29994790,8.766666,276.30333333333334,237.85666666666663,474.1366666666667,266.77666666666664,314.77333333333337,161.44333333333336,985.4066666666666,12577.495,38.60358845130026,0.140541106
1998Q1,700183,306684,283245,459134,383823,91.09999999999998,30028506,8.599999999999998,249.57666666666668,224.9633333333333,385.6233333333333,252.57,296.8933333333334,153.07666666666668,949.6466666666666,12703.742,28.68603291585843,0.101324144
1998Q2,708665,303542,283876,464300,385903,91.10000000000001,30080180,8.333332999999998,245.32666666666668,223.7133333333333,368.67,245.66666666666663,294.41333333333336,156.94,911.0066666666668,12821.339,29.98745082246032,0.066562999
1998Q3,712685,304696,284439,473720,377232,91.2,30155173,8.199999999999998,233.61333333333332,213.09,350.77666666666664,235.82,293.51666666666665,137.6233333333333,857.8333333333334,12982.752,33.69863733650384,0.065328107
1998Q4,714820,303877,287616,492298,392484,91.59999999999998,30231639,8.033334,227.97333333333336,205.9766666666667,350.26,230.9933333333333,285.46,129.81666666666666,837.5799999999999,13191.67,33.22419232684991,0.085944564
1999Q1,725308,307260,290806,510280,400011,91.86666666666667,30260117,7.9,230.4633333333333,212.77,338.86999999999995,227.56,299.08,136.85,883.1566666666668,13315.597,35.90491384065468,0.141300924
1999Q2,732694,309229,298230,511000,407515,92.56666666666666,30314696,7.9,252.74666666666667,220.1833333333333,413.9266666666667,235.36666666666667,309.7733333333333,142.46333333333334,852.31,13426.748,32.76566606832315,0.141212809
1999Q3,741774,314132,300631,528775,417350,93.16666666666667,30401286,7.5,271.80333333333334,224.07,494.7133333333333,250.0133333333333,318.56,136.9333333333333,870.2233333333334,13604.771,31.44479538879681,0.128878811
1999Q4,748920,314546,307982,543312,438897,93.76666666666667,30492106,6.966667,281.8,224.76666666666665,544.3166666666667,265.9766666666667,306.4066666666667,140.07000000000002,873.7766666666666,13827.98,41.05507794817962,0.101620975
2000Q1,756902,318113,310747,561401,448251,94.36666666666667,30525872,6.866667,304.22333333333336,235.02,604.2966666666666,278.16,318.1433333333334,148.72333333333333,894.4533333333334,13878.147,32.37723684436769,0.15628648
2000Q2,763450,321619,312869,569730,450832,94.8,30594030,6.666667,320.5933333333333,228.50333333333333,703.4466666666667,265.98,300.41333333333336,154.57333333333335,917.8066666666668,14130.908,37.32516145334657,0.148465937
2000Q3,773237,323123,316629,574443,455248,95.66666666666667,30685730,6.9,333.6933333333333,217.17666666666665,813.79,268.81333333333333,274.9866666666667,148.36333333333334,868.6999999999999,14145.312,31.52960320607463,0.138617227
2000Q4,775053,325095,318056,575471,451265,96.7,30783969,6.9,352.85,210.18,955.71,259.11333333333334,264.76666666666665,145.8166666666667,824.89,14229.765,27.40089206194314,0.107933189
2001Q1,781053,329259,326713,565825,439234,96.93333333333334,30824441,7,332.2133333333333,207.9766666666667,857.4766666666668,256.95666666666665,259.43666666666667,145.53,936.3766666666668,14183.12,23.90426173219079,0.124375358
2001Q2,782490,333396,331048,558503,436147,98.2,30910996,7.1,317.75333333333333,230.53,693.8966666666666,250.2433333333333,304.26,168.21666666666667,919.7266666666666,14271.694,30.75592744469702,0.0900584
2001Q3,784690,334353,335110,546657,426137,98.23333333333333,31020855,7.166667,273.63,221.1266666666667,529.0366666666667,234.84333333333333,284.58666666666664,171.26999999999998,870.4833333333332,14214.516,28.90472777833688,0.05658221
2001Q4,794433,334806,326066,548610,415972,97.73333333333333,31128873,7.633333,237.64666666666665,200.41333333333333,438.3033333333333,228.76,245.31000000000003,157.4333333333333,780.9933333333333,14253.574,30.66379664625423,0.088610417
2002Q1,806536,337134,326889,557915,418516,98.43333333333334,31168896,7.933333,252.9233333333333,211.26666666666665,471.3,241.1533333333333,261.6566666666667,160.11,959.2633333333332,14372.785,39.15348517850938,0.118692261
2002Q2,816959,338513,331299,557025,438630,99.5,31252682,7.7,279.68666666666667,209.31000000000003,591.4766666666667,246.5666666666667,257.78,157.01,855.2033333333333,14460.848,39.15331952426894,0.090744735
2002Q3,818711,341855,336481,569640,446853,100.60000000000001,31359199,7.533333,276.86333333333334,202.65,602.0466666666666,241.64666666666668,238.73333333333332,162.82666666666668,787.3466666666667,14519.633,34.26853907387859,0.071595163
2002Q4,826790,344446,337392,561661,445815,101.46666666666665,31450677,7.566667,289.27666666666664,197.9233333333333,680.2133333333333,246.74666666666667,224.04666666666665,161.24666666666667,832.0933333333334,14537.58,29.70782316975341,0.058768138
2003Q1,830409,348223,340437,552664,449683,102.76666666666667,31479415,7.466667,339.84666666666664,206.8,895.9366666666666,259.91333333333336,238.6833333333333,160.91333333333333,931.6266666666668,14614.141,26.70765763722525,0.066143203
2003Q2,837374,349462,343831,541594,450547,102.23333333333333,31549344,7.666667,326.56333333333333,218.7633333333333,787.46,257.8933333333334,265.34,167.77333333333334,1004.53,14743.567,25.90271785,0.056849214
2003Q3,844647,350364,354634,548221,451247,102.76666666666667,31642461,7.8,325.42333333333335,230.34,749.15,270.58666666666664,298.1466666666667,163.76,881.66,14988.782,30.93163776674597,0.043647869
2003Q4,845597,353119,362701,565761,472563,103.2,31736141,7.433333,334.49666666666667,234.9233333333333,775.6866666666666,294.0933333333333,295.07666666666665,166.71,778.9566666666666,15162.76,42.74259576341935,0.061683919
2004Q1,856317,355400,371184,565206,476771,103.7,31775723,7.3,372.26666666666665,258.97,870.0166666666668,322.06,334.05333333333334,178.14333333333337,891.32,15248.68,31.13393789492091,0.046996805
2004Q2,860074,354761,377042,591796,489625,104.5,31844704,7.166667,402.1233333333334,277.2,946.75,313.53333333333336,378.4,196.74666666666667,862.6566666666668,15366.85,27.44028497928177,0.052262286
2004Q3,868266,357677,382524,589849,503689,104.76666666666667,31938807,7,408.57,279.27666666666664,968.73,326.63,380.3466666666666,189.89,935.2866666666664,15512.619,30.55272431800247,0.038839833
2004Q4,875507,359613,389065,584139,509373,105.56666666666666,32038207,7.133333,427.0966666666666,267.7233333333333,1089.2733333333333,351.58,328.57,186.09666666666664,973.02,15670.88,30.17393376,0.037707344
2005Q1,887965,357687,399625,589934,526412,105.96666666666665,32075011,6.933333,448.69,282.2133333333333,1128.1933333333334,366.98333333333335,365.2533333333333,182.7266666666667,1053.3333333333333,15844.727,23.53633129706395,0.039670255
2005Q2,895731,358952,409261,587785,522541,106.43333333333334,32140569,6.8333330000000005,467.0466666666666,278.90333333333336,1214.8533333333332,365.66,348.71333333333337,188.6233333333333,1039.82,15922.782,34.49307368363176,0.034486611
2005Q3,901899,360982,420321,596248,531724,107.46666666666665,32242732,6.7,537.2366666666667,271.7866666666667,1560.9033333333334,368.0566666666667,328.21000000000004,185.8766666666667,1003.0733333333332,16047.587,26.57304630647297,0.036241464
2005Q4,910590,365004,429284,610182,544076,108,32353311,6.533333,569.15,279.5233333333333,1683.4033333333334,393.48333333333335,330.5833333333333,185.84333333333333,1114.256666666667,16136.734,31.50242315841783,0.063193442
2006Q1,923347,366465,437186,602039,549019,108.66666666666667,32394909,6.6,529.5066666666667,299.9266666666667,1423.1266666666668,452.19666666666666,344.9766666666667,185.9766666666667,1184.8733333333332,16353.835,24.09044588865559,0.053510347
2006Q2,931539,370375,441066,599768,563522,109.13333333333333,32470171,6.3333330000000005,546.1066666666667,323.59,1422.5866666666668,542.2733333333334,337.56666666666666,195.95666666666668,1027.0766666666666,16396.151,26.82289789141396,0.051598499
2006Q3,941377,371577,440979,599465,562673,109.2,32571193,6.5,539.3133333333334,327.90333333333336,1382.7833333333335,583.0933333333334,320.48,198.72333333333333,907.54,16420.738,26.22646074529716,0.044222773
2006Q4,950854,373907,443424,604017,562491,109.5,32680839,6.366667,520.9666666666667,327.87000000000006,1302.45,614.86,299.8,198.7433333333333,935.27,16561.866,25.55573273368429,0.063114503
2007Q1,958265,375405,449825,610097,574708,110.66666666666667,32717848,6.3333330000000005,529.1066666666667,340.12666666666667,1305.2933333333333,643.8166666666667,307.75666666666666,203.57333333333332,1004.5933333333334,16611.69,25.58803621,0.095903589
2007Q2,972601,377161,453157,619418,583850,111.43333333333334,32785964,6.2,570,358.3533333333333,1428.7166666666665,692.4233333333333,308.13,219.8,1056.986666666667,16713.314,31.47451097108992,0.081244725
2007Q3,981647,382422,455030,607994,598021,111.46666666666665,32888886,6,561.5566666666667,340.7333333333333,1445.243333333333,595.4633333333334,311.96,230.34,985.4466666666668,16809.587,22.18053998,0.060857424
2007Q4,999789,382552,460475,593844,610546,112.23333333333333,33001918,6.1,614.41,338.72,1697.1466666666663,589.1733333333333,295.75666666666666,244.03333333333333,943.23,16915.191,25.02436365046709,0.045436718
2008Q1,1008261,385977,471011,585213,611340,112.60000000000001,33050262,6.133333,687.8833333333333,368.3733333333334,1946.8933333333332,630.6166666666667,285.3333333333333,298.08,1160.3966666666668,16843.003,26.24565297561617,0.056284797
2008Q2,1010328,394401,468083,590569,615759,114.10000000000001,33127394,6.166667,825.8666666666667,394.69666666666666,2499.9233333333336,721.3966666666666,308.3933333333334,293.2966666666667,1005.2533333333334,16943.291,30.59643635839545,0.056080237
2008Q3,1011277,394258,464054,585825,599243,115.43333333333334,33247298,6.233333,765.5533333333333,378.72333333333336,2272.213333333333,676.0133333333333,332.49333333333334,267.7133333333333,889.5966666666667,16854.295,29.50669139834588,0.052512629
2008Q4,999443,399973,444913,559024,562385,114.3,33372978,6.7,469.07666666666665,290.3633333333333,1224.1933333333334,497.75666666666666,277.08666666666664,202.5,753.0033333333334,16485.35,30.63700514824956,0.141511333
2009Q1,996095,400012,400087,510893,508011,113.93333333333334,33427754,8,397.3333333333333,280.24,953.0233333333334,478.93666666666667,242.06333333333336,206.31000000000003,965.17,16298.262,27.88893702837862,0.13549322
2009Q2,1003693,403150,398186,490276,500023,114.2,33512305,8.633333,453.65333333333336,294.48,1152.43,526.76,237.27,217.57,847.3933333333333,16269.145,21.82107940103185,0.121635399
2009Q3,1013294,405287,410666,503446,531775,114.46666666666665,33630069,8.666667,471.36,295.83,1223.6333333333334,567.5666666666667,246.13333333333333,199.60333333333327,770.7266666666666,16326.281,30.32166718338617,0.165667579
2009Q4,1019616,408613,430021,515488,552424,115.2,33758581,8.599999999999998,523.8233333333334,307.7033333333333,1423.1266666666668,600.48,267.81666666666666,198.1933333333333,791.3466666666667,16502.754,29.12462903130773,0.135270863
2010Q1,1030980,412274,445192,522667,576792,115.76666666666667,33809016,8.366666999999998,562.0566666666667,325.8433333333333,1539.8733333333332,609.16,303.04,209.85666666666668,1046.753333333333,16582.71,23.96493920474747,0.10253668
2010Q2,1039844,411805,454670,539803,593040,115.76666666666667,33890461,8.133333,552.0533333333333,336.1466666666667,1461.9166666666667,613.41,326.28000000000003,218.20666666666668,1026.2833333333333,16743.162,24.76039631390224,0.077152848
2010Q3,1048220,413263,459829,539704,604207,116.60000000000001,34005902,8.199999999999998,537.7733333333333,337.1566666666667,1396.2166666666665,613.5833333333334,306.52000000000004,233.75,857.1333333333333,16872.266,29.99312529007716,0.084533797
2010Q4,1058255,416126,467934,552788,606590,117.76666666666667,34132531,7.933333,584.9766666666666,366.32666666666665,1518.743333333333,673.4233333333333,332.18333333333334,252.2733333333333,851.5633333333334,16960.864,31.23859566421777,0.070632605
2011Q1,1060572,416461,472905,553765,619997,118.60000000000001,34166633,7.8,647.9533333333334,405.4266666666667,1684.3866666666663,718.86,350.05,301.44,1022.75,16920.632,28.37964500694276,0.074626286
2011Q2,1065437,418038,476987,545629,625892,119.73333333333333,34230555,7.733333,691.0033333333334,408.94,1867.83,730.0666666666666,325.81666666666666,317.12333333333333,931.0666666666666,17035.114,27.43007593463602,0.059761287
2011Q3,1070027,419860,478900,575786,630834,120.13333333333333,34339221,7.433333,653.5466666666667,413.4966666666666,1684.4666666666665,771.8133333333334,326.2333333333333,301.9166666666667,925.3266666666668,17031.313,27.54620059322588,0.050830127
2011Q4,1076431,420780,483591,583161,637038,120.89999999999999,34457713,7.533333,640.26,387.77,1702.3033333333333,716.4233333333333,306.87666666666667,287.03666666666663,864.2566666666667,17222.583,34.70514616,0.064096307
2012Q1,1082466,421337,497002,582134,648493,121.46666666666665,34516032,7.566667,643.5733333333334,410.21,1645.87,762.6733333333333,318.29,303.36333333333334,994.2233333333334,17367.01,26.89637637123219,0.049737385
2012Q2,1083962,420190,502206,582627,648668,121.53333333333335,34592192,7.466667,614.04,405.9633333333333,1528.9433333333334,719.0933333333334,332.2033333333333,311.1066666666666,955.18,17444.525,23.75509877264099,0.084365974
2012Q3,1090584,422795,501494,578728,655658,121.60000000000001,34713395,7.366666999999999,618.4499999999999,396.5633333333333,1574.4166666666667,685.6333333333333,331.2,311.1933333333333,911.1933333333332,17469.65,24.35008693,0.072968041
2012Q4,1096468,422510,505123,577277,653388,122.10000000000001,34834973,7.366666999999999,603.3966666666666,408.23333333333335,1475.2166666666665,723.8166666666666,349.49,306.68333333333334,903.3466666666668,17489.852,27.08376073798031,0.053180369
2013Q1,1103810,418089,507906,586400,661085,122.60000000000001,34881794,7.166667,615.8466666666667,399.42,1551.2833333333335,657.9566666666666,380.47,307.3933333333334,1053.013333333333,17662.4,27.77752124434428,0.06029701
2013Q2,1113932,416227,508021,597154,668071,122.39999999999999,34956567,7.166667,623.5066666666667,381.2,1636.9633333333331,610.3033333333334,355.09,305.7933333333333,1087.993333333333,17709.671,23.93689591041815,0.049248875
2013Q3,1121717,418312,508568,592954,665027,122.93333333333334,35080992,7.233333,638.1566666666666,366.43666666666667,1750.9266666666665,588.5333333333333,355.18333333333334,285.8333333333333,1096.6266666666668,17860.45,23.48369707,0.049520366
2013Q4,1128399,420884,510392,601196,666266,123.26666666666667,35209597,7.266667,595.4533333333334,359.25666666666666,1578.83,581.6933333333333,378.8966666666667,263.96,1143.64,18016.147,26.95959153526092,0.076847574
2014Q1,1131596,422097,511565,599213,662306,124.23333333333333,35247023,7.233333,629.0066666666667,360.9966666666666,1725.0166666666669,570.3366666666667,381.3633333333333,272.3333333333333,1336,17953.974,25.64706725173153,0.08221667
2014Q2,1141918,420519,516002,635431,684667,125.16666666666667,35320540,7.2,649.5266666666666,373.06666666666666,1779.8333333333333,587.0933333333334,367.36,297.7033333333333,1309.513333333333,18185.911,22.95716550731611,0.060686956
2014Q3,1150420,420711,523084,644921,687471,125.53333333333335,35434066,7.033333,621.38,372.2733333333333,1659.073333333333,590.3766666666667,374.78,290.21666666666664,1275.1633333333332,18406.941,20.77502084896319,0.064554154
2014Q4,1159052,419438,530022,648388,692956,125.7,35555305,6.766667,520.9633333333333,358.4866666666667,1283.02,558.2066666666666,370.75,281.9866666666667,1185.4433333333334,18500.031,24.91485144654604,0.066862776
2015Q1,1161015,425153,507681,641770,689821,125.56666666666666,35571043,6.866667,399.5133333333333,341.2133333333333,850.0799999999999,538.4133333333333,348.71000000000004,263.23,1289.9133333333332,18666.621,24.22620219567158,0.052051367
2015Q2,1167255,425599,493691,650429,691493,126.3,35606734,6.933333,434.4166666666667,337.66333333333336,1023.99,537.7133333333334,323.43333333333334,266.59666666666664,1365.7300000000002,18782.243,36.43682655666854,0.115483399
2015Q3,1176066,428068,487400,663503,683269,127.06666666666666,35704498,7.066667,371.8366666666666,315.26,798.2599999999999,492.92,310.7633333333333,252.76666666666665,1108.1333333333334,18857.418,30.38276580297405,0.16184103
2015Q4,1185031,426881,483499,658172,683540,127.3,35823591,7.133333,340.38,297.32666666666665,707.4699999999999,473.99,307.3066666666667,226.36333333333332,1058.77,18892.206,38.59815551,0.188830262
2016Q1,1186604,430380,473959,673120,685285,127.5,35871484,7.233333,304.31666666666666,295.71,559.1633333333333,475.12,315.08,215.22333333333336,1319.31,19001.69,40.85604174218805,0.142749472
2016Q2,1192264,434964,470522,645544,687237,128.26666666666668,35970407,7.133333,365.0366666666667,311.8333333333333,781.3833333333333,501.09,342.1166666666666,225.57666666666668,1200.0833333333333,19062.709,59.65434727859314,0.12455021
2016Q3,1200383,434878,471885,664193,694962,128.63333333333333,36110803,6.966667,362.79333333333335,307.6433333333334,782.0333333333333,512.23,358.65333333333336,205.0133333333333,1196.1433333333334,19197.938,44.67470559,0.084496501
2016Q4,1208852,435798,464132,670885,682072,129.1,36257421,6.866667,375.7166666666667,302.22,862.7833333333333,499.17333333333335,357.2133333333333,201,1211.28,19304.352,89.19846878559215,0.074417027
2017Q1,1221601,440122,477459,675574,704661,129.9,36313068,6.733333,400.58,319.83666666666664,935.2633333333332,519.0966666666667,381.44,214.58,1368.03,19398.343,126.5685996220967,0.056321392
2017Q2,1237234,440746,481152,684781,717598,129.96666666666667,36397141,6.533333,400.05,328.86999999999995,908.2566666666668,521.4,404.8133333333333,224.75,1275.7066666666667,19506.949,70.55454152790239,0.057443349
2017Q3,1249103,444040,484748,660523,720531,130.4,36545075,6.233333,404.73,341.38000000000005,895.2233333333334,544.3466666666667,412.6333333333334,236.35,1212.9066666666668,19660.766,57.36905889379186,0.04104034
2017Q4,1256314,447828,500029,672427,738226,131.46666666666667,36722075,6.166667,425.1033333333333,348.55,966.7433333333332,557.6233333333333,455.1933333333333,229.00666666666663,1212.4399999999998,19882.352,46.17301411962775,0.032169021
2018Q1,1264740,452103,502230,683701,747515,132.53333333333333,36801579,5.9,442.98,363.64,1006.2833333333332,573.3666666666667,496.25,234.46666666666667,1380.013333333333,20044.077,130.2666620566164,0.030356263
2018Q2,1272149,456686,502914,704789,760345,132.93333333333334,36903671,5.9,484.4766666666667,376.63,1155.8566666666668,584.51,552.8066666666667,236.51666666666665,1388.743333333333,20150.476,185.0270760384355,0.096169193
2018Q3,1279159,458262,495344,701558,741437,133.79999999999998,37072620,5.9,456.5933333333333,347.83666666666664,1109.2666666666669,546.5966666666667,494.98333333333335,221.35666666666663,1174.6933333333334,20276.154,207.4398240919986,0.162735324
2018Q4,1279338,461436,488830,699519,732492,134.16666666666666,37259485,5.633333,393.50666666666666,331.75,874.5500000000001,538.6233333333333,419.62000000000006,218.58666666666667,1199.7133333333334,20304.874,154.8946025991042,0.453819488
2019Q1,1286257,459393,497737,699150,752000,134.73333333333332,37336956,5.766667,430.8466666666666,340.96,1006.9366666666666,552.9666666666667,439.82666666666665,220.9233333333333,1332.7066666666667,20431.641,121.0934662222541,
2019Q2,1289397,459071,496572,727235,748263,135.83333333333334,37437243,5.6,442.8566666666666,338.15333333333336,1068.52,561.4733333333334,403.92,222.93,1260.6733333333334,20602.275,182.3189605,
2019Q3,1295559,462808,507190,720979,743779,136.36666666666667,37618495,5.666667,428.5933333333333,339.42,1000.8133333333334,592.8533333333334,390.7266666666667,213.75,1216.96,20843.322,178.7555115689171,
2019Q4,1304846,466957,503267,705988,734522,136.93333333333334,37828162,5.7,418.3999999999999,340.39000000000004,954.3866666666668,594.0933333333334,386.91333333333336,215.61,1246.4366666666667,20985.448,135.1389614,
2020Q1,1277779,466398,495226,693669,735369,137.16666666666666,37928208,6.6,372.87000000000006,339.0233333333333,747.8166666666666,590.7933333333333,386.43,215.21666666666667,1227.246666666667,20709.212,98.87073816691313,
2020Q2,1097087,449603,430683,580283,566685,135.83333333333334,38006941,13.5,311.7266666666667,326.7133333333333,514.1866666666666,587.0766666666667,357.42333333333335,203.58666666666667,1140.5966666666666,19077.992,60.60567657096685,
2020Q3,1235259,474621,495131,657665,688244,136.79999999999998,38028638,10.03333,405.9966666666666,377.5966666666666,754.5233333333332,657.75,539.0533333333333,212.14666666666668,1211.6533333333334,20558.879,64.10366918469609,
2020Q4,1241944,481009,508243,665479,707770,138,38027406,8.833332999999998,425.92,392.6566666666667,801.0966666666667,679.7466666666668,524.9,231.12,1329.67,20791.917,79.378654,
2021Q1,1247007,487975,525670,683414,727187,139.33333333333334,38058291,8.466666,528.5533333333334,441.0833333333333,1092.3866666666663,711.0866666666667,681.4366666666666,265.40000000000003,1434.21,21082.134,53.040799,
2021Q2,1246328,493539,533752,660311,724786,140.29999999999998,38140918,8.133333,606.0400000000001,510.9333333333334,1241.8366666666668,782.0166666666668,897.6066666666666,307.61,1477.5466666666669,21440.929,48.852583,
2021Q3,1312201,495854,515892,659260,717468,142.26666666666668,38239864,7.166667,622.6566666666666,481.16,1377.5633333333335,865.1933333333333,516.4399999999999,322.06666666666666,1728.65,21617.828,49.407744,
2021Q4,1325757,499514,523969,680108,754130,144.53333333333333,38460257,6.166667,673.54,517.6066666666667,1503.3333333333333,898.04,662.1,322.0366666666667,1765.08,21988.737,47.223019,
2022Q1,1332511,505026,534800,676180,755620,147.5,38565380,5.766667,802.9499999999999,588.8633333333333,1825.9233333333332,968.9733333333334,890.1966666666667,347.97333333333336,1905.55,21932.71,51.512648,
2022Q2,1359017,505624,520613,702053,802756,150.9,38693009,5.166667,902.15,597.1233333333333,2208.9666666666667,1028.1766666666665,714.3433333333332,380.8333333333333,1717.8166666666666,21967.045,59.663552,
2022Q3,1359773,511825,511793,707885,804061,152.36666666666667,38950132,5.033333,770.89,517.0366666666666,1867.4333333333332,883.62,596.6366666666667,335.67333333333335,1675.97,22125.625,60.466559,
2022Q4,1360444,516702,505933,708912,781531,154.06666666666666,39284491,5.033333,675.3000000000001,482.21,1565.1833333333334,803.5366666666665,533.5733333333334,328.05333333333334,1719.3933333333334,22278.345,48.209235,
2023Q1,1373422,516997,507837,730770,776498,155.16666666666666,39501329,5.066667,620.4466666666667,478.1333333333334,1356.6633333333332,814.5033333333334,500.19666666666666,326.5333333333333,1750.38,22439.607,53.953724,
2023Q2,1376434,518388,515014,733165,789660,156.20000000000002,39727297,5.233333,608.0133333333333,460.63000000000005,1347.42,767.65,449.32,331.19666666666666,1721.7300000000002,22580.499,48.626566,
2023Q3,1379400,525519,511658,726639,792289,158,40049088,5.5,635.29,451.3633333333333,1483.6166666666668,739.4666666666667,429.70666666666665,335.24666666666667,1600.0600000000002,22840.989,62.28857,
2023Q4,1383902,522858,504861,742962,796312,158.96666666666667,40467722,5.733333,597.57,431.0033333333333,1378.9633333333334,729.25,431.08,301.46,1590.9,23033.78,50.238332,
2024Q1,1394807,530410,505618,741624,794159,159.63333333333333,40724526,5.9,593.2233333333334,434.50666666666666,1350.0866666666668,729.6,457.99,298.4533333333333,1814.9133333333327,23082.119,71.45,
2024Q2,1400559,537645,509764,732534,794175,160.5,40990297,6.3,635.7133333333333,458.4333333333333,1464.64,803.2266666666668,452.9866666666667,308.3533333333333,1742.28,23286.508,91.5,
2024Q3,1415491,544858,507456,731408,792198,161.26666666666668,41262329,6.566667,603.9266666666666,448.8766666666667,1359.3633333333337,799.94,450.97,294.8433333333333,1624.22,23478.57,109.38,
2024Q4,1432342,548051,518483,744109,797086,162,41494132,6.733333,603.6633333333333,462.2033333333334,1326.6033333333337,827.66,473.9666666666667,298.00333333333333,1797.2933333333333,23586.542,237.39,
