date,M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,quarter
1982-09-30,282.00666666666666,187.00333333333333,776.0866666666667,222.17333333333332,187.47666666666666,177.5,258.57,1982Q3
1982-12-31,280.6666666666667,184.36666666666667,783.6933333333333,227.12333333333333,186.79333333333332,169.84666666666666,254.86666666666667,1982Q4
1983-03-31,284.10999999999996,193.53666666666666,752.64,250.34,194.11333333333332,174.22,302.5833333333333,1983Q1
1983-06-30,291.96,203.85333333333332,746.88,259.7866666666667,208.14000000000001,183.08666666666667,278.8966666666667,1983Q2
1983-09-30,286.9433333333333,198.05999999999997,745.9066666666668,263.8533333333333,192.94000000000003,182.54,199.13666666666666,1983Q3
1983-12-31,281.42333333333335,195.27999999999997,726.14,250.21333333333334,191.40333333333334,183.23666666666668,207.92333333333332,1983Q4
1984-03-31,289.1066666666666,201.95000000000002,738.9866666666667,252.60999999999999,203.15666666666667,186.07666666666668,280.36333333333334,1984Q1
1984-06-30,287.75,201.40333333333334,733.48,245.09,196.42999999999998,195.41666666666666,326.86999999999995,1984Q2
1984-09-30,274.54333333333335,190.01333333333332,710.9466666666667,223.84,191.68999999999997,184.15,226.69999999999996,1984Q3
1984-12-31,265.03999999999996,188.46333333333334,661.71,220.25333333333333,194.48000000000002,176.64333333333335,341.8633333333333,1984Q4
1985-03-31,257.4666666666667,185.59333333333333,629.9333333333333,215.68666666666664,192.34333333333333,174.03666666666666,344.6166666666666,1985Q1
1985-06-30,259.8766666666667,184.6833333333333,647.6633333333333,222.09333333333333,190.08333333333334,170.95666666666668,313.6933333333333,1985Q2
1985-09-30,251.29999999999998,174.23,647.2733333333333,211.74333333333334,185.57666666666668,154.59666666666666,250.47333333333336,1985Q3
1985-12-31,251.35333333333332,174.13666666666666,648.5966666666667,203.88333333333333,182.2833333333333,160.20666666666668,346.25666666666666,1985Q4
1986-03-31,223.51,177.66,451.09,213.15,189.94333333333336,156.06666666666666,325.6666666666667,1986Q1
1986-06-30,219.15333333333334,182.75333333333333,394.1566666666667,213.1,205.49666666666667,154.27666666666667,315.4166666666667,1986Q2
1986-09-30,215.30666666666664,181.20333333333335,379.34,218.15,208.85,146.08,231.09333333333333,1986Q3
1986-12-31,218.79666666666665,184.59666666666666,382.89000000000004,220.7266666666667,215.4466666666667,145.73666666666668,289.83666666666664,1986Q4
1987-03-31,232.69666666666663,193.37333333333333,421.59999999999997,226.49666666666667,234.93666666666664,142.82333333333335,426.18333333333334,1987Q1
1987-06-30,245.5666666666667,202.74,451.3500000000001,249.76999999999998,236.64666666666668,154.35333333333332,362.4466666666667,1987Q2
1987-09-30,251.90666666666667,209.54999999999998,455.48,274.4266666666667,246.45666666666668,149.86333333333332,288.36999999999995,1987Q3
1987-12-31,248.24333333333334,212.51,421.19,296.1433333333333,244.83,143.70000000000002,423.94666666666666,1987Q4
1988-03-31,257.09,228.09666666666666,399.98,331.45,259.49666666666667,149.98333333333335,458.3966666666667,1988Q1
1988-06-30,276.37666666666667,250.27666666666667,406.12000000000006,394.4633333333333,266.8966666666667,166.34333333333333,460.7266666666667,1988Q2
1988-09-30,266.8566666666666,245.0333333333333,376.8533333333333,361.9166666666667,264.63000000000005,174.63666666666666,413.34999999999997,1988Q3
1988-12-31,268.03333333333336,247.29999999999998,373.57666666666665,373.4466666666667,264.87333333333333,172.87666666666667,452.6233333333333,1988Q4
1989-03-31,285.39,255.37666666666667,432.3433333333333,384.59,272.1166666666666,180.65666666666667,463.91333333333336,1989Q1
1989-06-30,281.29,246.31333333333336,451.24666666666667,347.95666666666665,271.75,180.17333333333332,366.32,1989Q2
1989-09-30,272.1066666666666,238.31333333333336,436.35999999999996,325.37,272.15333333333336,174.53333333333333,243.67333333333332,1989Q3
1989-12-31,274.05333333333334,236.2266666666667,458.3966666666667,310.96666666666664,270.6933333333333,177.43666666666664,324.5433333333333,1989Q4
1990-03-31,276.82666666666665,234.37,486.87999999999994,289.8966666666667,276.99333333333334,178.49333333333334,415.50666666666666,1990Q1
