quarter,GDPC1,US_GDP_growth
1996Q1,11614.418,0.7490501226268043
1996Q2,11808.14,1.6679441018912833
1996Q3,11914.063,0.8970337411311258
1996Q4,12037.775,1.0383695301930063
1997Q1,12115.472,0.6454431985977394
1997Q2,12317.221,1.665217830555843
1997Q3,12471.01,1.2485689750959317
1997Q4,12577.495,0.8538602727445443
1998Q1,12703.742,1.0037531320823412
1998Q2,12821.339,0.9256878799962953
1998Q3,12982.752,1.258940271371034
1998Q4,13191.67,1.609196570958149
1999Q1,13315.597,0.9394337487217186
1999Q2,13426.748,0.8347428958686454
1999Q3,13604.771,1.3258832295057754
1999Q4,13827.98,1.6406670865683814
2000Q1,13878.147,0.36279340872638066
2000Q2,14130.908,1.8212878131352639
2000Q3,14145.312,0.10193258635609048
2000Q4,14229.765,0.5970387927816567
2001Q1,14183.12,-0.3277988076401672
2001Q2,14271.694,0.624502930243831
2001Q3,14214.516,-0.40063919531907466
2001Q4,14253.574,0.2747754478590769
2002Q1,14372.785,0.8363586564324121
2002Q2,14460.848,0.6127065840058066
2002Q3,14519.633,0.4065114300350947
2002Q4,14537.58,0.12360505255195608
2003Q1,14614.141,0.5266419858050542
2003Q2,14743.567,0.885621672871495
2003Q3,14988.782,1.663199956971062
2003Q4,15162.76,1.160721398176312
2004Q1,15248.68,0.5666514539569345
2004Q2,15366.85,0.7749523237421174
2004Q3,15512.619,0.9485938887930923
2004Q4,15670.88,1.0202081286209586
2005Q1,15844.727,1.1093633541958248
2005Q2,15922.782,0.4926244548107306
2005Q3,16047.587,0.7838140345072908
2005Q4,16136.734,0.5555165396517348
2006Q1,16353.835,1.3453837684874737
2006Q2,16396.151,0.25875276349554
2006Q3,16420.738,0.1499559256315619
2006Q4,16561.866,0.8594498006118778
2007Q1,16611.69,0.30083566670564554
2007Q2,16713.314,0.6117619579946387
2007Q3,16809.587,0.5760257959612325
2007Q4,16915.191,0.6282367318126258
2008Q1,16843.003,-0.42676432089947536
2008Q2,16943.291,0.5954282618129358
2008Q3,16854.295,-0.5252580505168858
2008Q4,16485.35,-2.189026595298116
2009Q1,16298.262,-1.1348742974823023
2009Q2,16269.145,-0.1786509506351064
2009Q3,16326.281,0.3511923951750484
2009Q4,16502.754,1.0809136508185713
2010Q1,16582.71,0.48450095056860043
2010Q2,16743.162,0.9675861183124024
2010Q3,16872.266,0.7710849360473171
2010Q4,16960.864,0.5251102608268665
2011Q1,16920.632,-0.23720489710901127
2011Q2,17035.114,0.6765822931436682
2011Q3,17031.313,-0.022312735917140447
2011Q4,17222.583,1.1230490567579965
2012Q1,17367.01,0.838590819971663
2012Q2,17444.525,0.4463347461653111
2012Q3,17469.65,0.14402799732293747
2012Q4,17489.852,0.11564055376036553
2013Q1,17662.4,0.9865606638638447
2013Q2,17709.671,0.26763633481292626
2013Q3,17860.45,0.851393569084391
2013Q4,18016.147,0.8717417534272576
2014Q1,17953.974,-0.34509598528477126
2014Q2,18185.911,1.2918421292132942
2014Q3,18406.941,1.2153914093167906
2014Q4,18500.031,0.5057331362120498
2015Q1,18666.621,0.9004849775657187
2015Q2,18782.243,0.6194050867588619
2015Q3,18857.418,0.4002450612528241
2015Q4,18892.206,0.18447912646364362
2016Q1,19001.69,0.5795194060450148
2016Q2,19062.709,0.3211240684381167
2016Q3,19197.938,0.7093902550786346
2016Q4,19304.352,0.5542991127484687
2017Q1,19398.343,0.48689021004175714
2017Q2,19506.949,0.5598725623111145
2017Q3,19660.766,0.7885241305547019
2017Q4,19882.352,1.1270466267692791
2018Q1,20044.077,0.8134098018182323
2018Q2,20150.476,0.5308251410129694
2018Q3,20276.154,0.6236974253114314
2018Q4,20304.874,0.1416442191157108
2019Q1,20431.641,0.6243180824466066
2019Q2,20602.275,0.8351458407085399
2019Q3,20843.322,1.170001856591063
2019Q4,20985.448,0.6818778695641736
2020Q1,20709.212,-1.3163216720462723
2020Q2,19077.992,-7.876784495711386
2020Q3,20558.879,7.762279174873354
2020Q4,20791.917,1.1335151104298946
2021Q1,21082.134,1.3958164607909662
2021Q2,21440.929,1.701891279127632
2021Q3,21617.828,0.8250528696774451
2021Q4,21988.737,1.7157551628220968
2022Q1,21932.71,-0.2547986271335234
2022Q2,21967.045,0.15654700217164752
2022Q3,22125.625,0.7218995545372753
2022Q4,22278.345,0.6902403886895891
2023Q1,22439.607,0.723850896464695
2023Q2,22580.499,0.6278719587201387
2023Q3,22840.989,1.1536060385556546
2023Q4,23033.78,0.8440571465622604
2024Q1,23082.119,0.2098613427756968
2024Q2,23286.508,0.8854862935244512
2024Q3,23478.57,0.8247780216767531
2024Q4,23586.542,0.4598746857240599
2025Q1,23548.21,-0.16251640448184945
2025Q2,23770.976,0.9459997171759493
