,quarter,qoq_pct
127,1986Q4,-1.3937351430754474
128,1987Q1,0.35335336937645234
129,1987Q2,-4.929570769688086
130,1987Q3,-4.814811111111106
131,1987Q4,-4.66926051870582
132,1988Q1,-3.265310070803673
133,1988Q2,-2.5316455696202556
134,1988Q3,1.298701298701288
135,1988Q4,-1.2820512820512775
136,1989Q1,-2.1645064935065017
137,1989Q2,1.7699204322973783
138,1989Q3,-3.913043308128572
139,1989Q4,1.3574660019246343
140,1990Q1,2.2321338289226
141,1990Q2,0.4366899754013165
142,1990Q3,6.52173884688092
143,1990Q4,11.83672604748056
144,1991Q1,11.313909172040471
145,1991Q2,1.6392781510563559
146,1991Q3,0.9677422476587871
147,1991Q4,-0.9584667598935281
148,1992Q1,2.5806782518316806
149,1992Q2,3.7735849056603765
150,1992Q3,4.84845454545455
151,1992Q4,1.7341045474290606
152,1993Q1,-5.113637816374372
153,1993Q2,4.4910193086884265
154,1993Q3,-1.7191982003433304
155,1993Q4,-1.166151943484528
156,1994Q1,-2.3599115044247942
157,1994Q2,-3.625378738785101
158,1994Q3,-4.70219583140935
159,1994Q4,-3.6183959271039234
160,1995Q1,-1.3651843935279517
161,1995Q2,-1.3840796326671234
162,1995Q3,-0.7017578947368541
163,1995Q4,-1.4134240782128549
164,1996Q1,2.1505376344086002
165,1996Q2,-0.7017578947368541
166,1996Q3,2.4735053877563917
167,1996Q4,1.7241309750299694
168,1997Q1,-4.067796748060914
169,1997Q2,-1.4134240782128549
170,1997Q3,-4.659494623655947
171,1997Q4,-1.1278307846679825
172,1998Q1,-1.9011332244208146
173,1998Q2,-3.1007790697674453
174,1998Q3,-1.5999960639998423
175,1998Q4,-2.032512195121927
176,1999Q1,-1.6597591983602222
177,1999Q2,0.0
178,1999Q3,-5.063291139240511
179,1999Q4,-7.111106666666666
180,2000Q1,-1.4354066298848611
181,2000Q2,-2.9126212178339106
182,2000Q3,3.499994825000252
183,2000Q4,0.0
184,2001Q1,1.4492753623188248
185,2001Q2,1.4285714285714235
186,2001Q3,0.9389718309859241
187,2001Q4,6.511618301785194
188,2002Q1,3.9301311759882607
