M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,quarter,M.BCPI_growth,M.BCNE_growth,M.ENER_growth,M.MTLS_growth,M.FOPR_growth,M.AGRI_growth,M.FISH_growth
201.37,166.25333333333333,344.77666666666664,176.33666666666667,174.42999999999998,156.52,207.40666666666667,1978Q2,3.4488073017449494,4.238421668617276,1.6920324052225766,2.880202255931552,-0.7228229937393471,11.099018100082825,0.08364162779477269
202.92,167.06666666666666,349.6366666666667,185.7133333333333,178.43666666666664,148.83666666666667,236.78,1978Q3,0.7697273675324023,0.48921324885715656,1.409608152137154,5.317479820797311,2.2970054845305565,-4.908850839083401,14.162193436405124
209.72333333333333,174.33666666666667,353.5733333333333,195.02,186.16333333333333,154.46666666666667,257.0166666666667,1978Q4,3.352716998488736,4.351556264964085,1.1259307280891528,5.011307750296168,4.330201191832783,3.782670040984515,8.546611481825629
220.08,185.48333333333332,360.0,216.57,193.59666666666664,164.04333333333332,264.68666666666667,1979Q1,4.938251982770958,6.393759201544902,1.8176333056791671,11.050148702697161,3.9929094522730857,6.199827362969357,2.9842422670384394
232.41333333333333,196.71,376.6066666666666,239.80000000000004,198.53,175.9333333333333,261.15333333333336,1979Q2,5.604022779595286,6.052655225087622,4.612962962962941,10.726324052269497,2.5482532412748338,7.248084855627579,-1.3349117195174065
248.7633333333333,204.5133333333333,430.02,252.49666666666667,212.60666666666663,175.6233333333333,258.2266666666667,1979Q3,7.034880385520026,3.966922542490603,14.182790178966576,5.294690019460635,7.09044812706725,-0.17620310723759358,-1.1206698491307843
264.39000000000004,207.86333333333332,504.38,289.74,203.73666666666668,175.34,260.12,1979Q4,6.281740342226239,1.6380350099423069,17.2922189665597,14.750029703362433,-4.172023454893203,-0.1613301193842731,0.7332059689161952
283.92,215.26666666666665,586.6066666666667,349.0733333333333,198.59333333333333,173.01,268.90333333333336,1980Q1,7.3868149324860966,3.561635048669798,16.302523229839938,20.47812981753756,-2.5245005808151144,-1.328846811908302,3.3766466758931912
276.56333333333333,200.12,631.6,294.1233333333333,190.2733333333333,170.76,226.8766666666667,1980Q2,-2.5911054757208674,-7.036234128213059,7.670102624132014,-15.741677966425405,-4.189465910235334,-1.3005028611062897,-15.628912496436143
296.6933333333333,219.28666666666663,646.98,314.25,202.77,197.17666666666665,232.47000000000003,1980Q3,7.278622135978496,9.577586781264547,2.4350854971501024,6.842934369935527,6.567744648050189,15.470055438432095,2.4653629725401416
298.0433333333333,216.68666666666664,673.8033333333333,300.66,197.60666666666663,203.71666666666667,214.04,1980Q4,0.4550152795254281,-1.1856626029854378,4.145929291992534,-4.324582338902139,-2.5463990399631986,3.316822477304626,-7.927904675872166
310.0133333333333,212.54666666666665,794.2433333333333,286.18666666666667,199.86333333333332,198.32666666666668,231.52666666666664,1981Q1,4.016194513102134,-1.9105928683506024,17.87465185192516,-4.813853965719872,1.1419992577848426,-2.6458316288963335,8.169812496106644
313.14000000000004,210.03666666666663,838.7633333333333,269.92333333333335,203.64,197.0666666666667,245.5666666666667,1981Q2,1.0085587716657463,-1.1809171319239753,5.60533505684655,-5.682771151695853,1.8896245767941355,-0.6353154727889998,6.064096288404519
306.1933333333333,204.9933333333333,823.44,261.62666666666667,202.0233333333333,190.29666666666665,247.29,1981Q3,-2.218390070469023,-2.401168050023006,-1.8268959460157497,-3.0737122886745682,-0.7938846330125093,-3.4353856562923113,0.7017782000814377
297.20666666666665,196.9,816.9633333333333,250.89666666666665,197.1433333333333,179.92999999999998,252.11,1981Q4,-2.9349648370310732,-3.9480958730365057,-0.78653777648241,-4.10126388747325,-2.4155625587803486,-5.447634395417689,1.949128553520163
291.43,192.1266666666667,809.1833333333334,235.38666666666663,195.0133333333333,177.4,261.24,1982Q1,-1.943653125771061,-2.4242424242424176,-0.9523071210866041,-6.181827844132382,-1.0804321728691502,-1.4061023731451017,3.6214350878584822
286.87,192.38,775.91,217.67,193.58,187.43,258.9166666666667,1982Q2,-1.564698212263671,0.13185745515109648,-4.111964738110451,-7.5266228616744035,-0.7349924791467011,5.653889515219834,-0.8893482366151173
282.00666666666666,187.00333333333333,776.0866666666667,222.1733333333333,187.47666666666663,177.5,258.57,1982Q3,-1.6953091411905596,-2.794815815919882,0.022768963754393745,2.068881027855607,-3.1528739194820687,-5.297977911753726,-0.1338912133891368
280.6666666666667,184.36666666666667,783.6933333333333,227.1233333333333,186.7933333333333,169.84666666666666,254.86666666666667,1982Q4,-0.47516607172406466,-1.409957041763954,0.980131085016267,2.227990157834725,-0.36448980317550506,-4.311737089201884,-1.4322362738652283
284.11,193.53666666666663,752.64,250.34,194.1133333333333,174.22,302.5833333333333,1983Q1,1.2268408551068921,4.973784125836178,-3.9624342855198447,10.222052629261658,3.9187694064741763,2.574871452682803,18.722207690295576
291.96,203.85333333333327,746.88,259.7866666666667,208.14,183.08666666666667,278.8966666666667,1983Q2,2.7630143254373074,5.33060057525705,-0.7653061224489832,3.7735346595297203,7.226019164062247,5.089350629472311,-7.828146516111245
286.9433333333333,198.06,745.9066666666668,263.8533333333333,192.94000000000003,182.54,199.13666666666663,1983Q3,-1.7182719093939758,-2.8419124861010836,-0.1303199085975315,1.5653869841921297,-7.302776977034675,-0.2985835487747224,-28.59840562215399
281.42333333333335,195.28,726.14,250.2133333333333,191.4033333333333,183.23666666666668,207.9233333333333,1983Q4,-1.9237247772498578,-1.4036150661415725,-2.6500187691042787,-5.169538632573644,-0.7964479458208329,0.38165151017128807,4.412380107463876
289.1066666666666,201.95,738.9866666666667,252.61,203.15666666666667,186.07666666666668,280.36333333333334,1984Q1,2.730169258649462,3.415608357230626,1.769172152293863,0.9578493019290368,6.1406105780115405,1.5499081333794296,34.83976465684471
287.75,201.4033333333333,733.48,245.09,196.43,195.41666666666663,326.86999999999995,1984Q2,-0.4692616335377764,-0.2706940661880042,-0.7451645496535764,-2.976920945330752,-3.3110735557123405,5.019436433011459,16.587998906181234
274.5433333333333,190.0133333333333,710.9466666666667,223.84,191.69,184.15,226.7,1984Q3,-4.589632203880701,-5.655318515085828,-3.072112850157238,-8.670284385327843,-2.4130733594664777,-5.765458422174818,-30.645210634197074
265.04,188.4633333333333,661.71,220.25333333333333,194.48,176.64333333333337,341.8633333333333,1984Q4,-3.4615057732233945,-0.8157322293172342,-6.925507773672668,-1.602335001191335,1.4554749856539262,-4.076387003348703,50.79988237023967
257.4666666666667,185.59333333333333,629.9333333333333,215.68666666666664,192.34333333333333,174.03666666666666,344.6166666666666,1985Q1,-2.8574303249823907,-1.522842639593891,-4.802204389636966,-2.0733700587202697,-1.0986562457150684,-1.475666597475167,0.8053900681558979
259.8766666666667,184.6833333333333,647.6633333333333,222.09333333333333,190.08333333333331,170.95666666666668,313.6933333333333,1985Q2,0.9360435007768064,-0.4903193361830649,2.814583553815231,2.9703582357123226,-1.174982236625488,-1.7697420083890303,-8.973255307829941
251.3,174.23,647.2733333333333,211.7433333333333,185.57666666666668,154.59666666666666,250.47333333333336,1985Q3,-3.300283467798848,-5.66013897662665,-0.06021647049135881,-4.660202917692269,-2.3708899605435985,-9.569676526215233,-20.153440727674578
251.35333333333327,174.13666666666666,648.5966666666667,203.88333333333333,182.2833333333333,160.20666666666668,346.25666666666666,1985Q4,0.021222973869172712,-0.053569037096556915,0.20444737411295932,-3.7120413078727377,-1.7746483932965962,3.6287975161172215,38.240930504910686
223.51,177.66,451.09,213.15,189.94333333333336,156.06666666666666,325.6666666666667,1986Q1,-11.077367848712283,2.023315020769134,-30.45138478458621,4.545082972288084,4.202249245679823,-2.5841621239232726,-5.946455904579451
219.1533333333333,182.75333333333333,394.1566666666667,213.1,205.49666666666667,154.27666666666667,315.4166666666667,1986Q2,-1.949204360729584,2.8668993208000204,-12.621280306221216,-0.02345765892564078,8.188407068774882,-1.1469457496796176,-3.147389969293757
215.30666666666664,181.20333333333332,379.34,218.15,208.85,146.08,231.09333333333333,1986Q3,-1.7552398625011345,-0.8481377448655847,-3.7590805686402273,2.369779446269371,1.631818845398958,-5.312965883801823,-26.73394980184941
218.79666666666665,184.59666666666664,382.89,220.7266666666667,215.4466666666667,145.73666666666668,289.83666666666664,1986Q4,1.6209437701263374,1.872666065745654,0.9358359255549065,1.1811444724578068,3.158566754448988,-0.23503103322380925,25.419743826448183
232.69666666666663,193.3733333333333,421.6,226.49666666666667,234.93666666666664,142.82333333333335,426.1833333333333,1987Q1,6.352930422462255,4.754509832246878,10.109953250280768,2.6140928448457945,9.046322369031756,-1.9990393632350556,47.042587204287464
245.5666666666667,202.74,451.3500000000001,249.77,236.64666666666668,154.35333333333332,362.4466666666667,1987Q2,5.530805483533663,4.843825415431313,7.056451612903247,10.275353574004043,0.7278557341695135,8.072910588839344,-14.95522271322981
251.90666666666667,209.55,455.48,274.4266666666667,246.45666666666668,149.86333333333332,288.36999999999995,1987Q3,2.5817836297000074,3.358981947321693,0.9150326797385588,9.871748675448089,4.145420739780836,-2.908910292402722,-20.43794949141945
248.2433333333333,212.51,421.19,296.1433333333333,244.83,143.70000000000002,423.94666666666666,1987Q4,-1.454242311967402,1.4125507038892815,-7.528321770439983,7.913468078903896,-0.6600213695443391,-4.112635957205435,47.01483048398472
