quarter,CPI,CPI_growth
2013Q2,122.39999999999999,-0.16313213703100793
2013Q3,122.93333333333334,0.43572984749455923
2013Q4,123.26666666666667,0.27114967462038564
2014Q1,124.23333333333333,0.7842076798269426
2014Q2,125.16666666666667,0.7512744834987872
2014Q3,125.53333333333335,0.2929427430093279
2014Q4,125.7,0.13276686139138683
2015Q1,125.56666666666666,-0.10607265977194968
2015Q2,126.3,0.5840191133527961
2015Q3,127.06666666666666,0.607020321984697
2015Q4,127.3,0.1836306400839538
2016Q1,127.5,0.15710919088767206
2016Q2,128.26666666666668,0.6013071895424993
2016Q3,128.63333333333333,0.28586278586277825
2016Q4,129.1,0.3627882871210186
2017Q1,129.9,0.6196746707978429
2017Q2,129.96666666666667,0.05132152938156498
2017Q3,130.4,0.33341882533983735
2017Q4,131.46666666666667,0.8179959100204526
2018Q1,132.53333333333333,0.8113590263691739
2018Q2,132.93333333333334,0.3018108651911433
2018Q3,133.79999999999998,0.6519558676027826
2018Q4,134.16666666666666,0.2740408570005126
2019Q1,134.73333333333332,0.42236024844719555
2019Q2,135.83333333333334,0.816427511133111
2019Q3,136.36666666666667,0.39263803680982257
2019Q4,136.93333333333334,0.41554632119285007
2020Q1,137.16666666666666,0.1703992210321248
2020Q2,135.83333333333334,-0.9720534629404476
2020Q3,136.79999999999998,0.7116564417177784
2020Q4,138.0,0.8771929824561431
2021Q1,139.33333333333334,0.9661835748792313
2021Q2,140.29999999999998,0.693779904306191
2021Q3,142.26666666666668,1.4017581373247934
2021Q4,144.53333333333333,1.5932521087160145
2022Q1,147.5,2.052583025830268
2022Q2,150.9,2.30508474576272
2022Q3,152.36666666666667,0.9719461011707509
2022Q4,154.06666666666666,1.1157295996499617
2023Q1,155.16666666666666,0.7139766334919972
2023Q2,156.20000000000002,0.6659505907626428
2023Q3,158.0,1.1523687580025532
2023Q4,158.96666666666667,0.611814345991557
2024Q1,159.63333333333333,0.41937513105472224
2024Q2,160.5,0.5429108373355751
2024Q3,161.26666666666668,0.47767393561786164
2024Q4,162.0,0.4547333608929227
2025Q1,163.23333333333332,0.7613168724279751
2025Q2,163.46666666666667,0.14294465999593609
2025Q3,164.43333333333334,0.5913539967373538
