DATEQ,tpuq_qoq_pct,tariffvol_qoq_pct
1976Q3,13.981154157972764,-47.30923322162133
1976Q4,6.2492942905499005,-31.04715435537708
1977Q1,-1.828681091017459,-40.93404346678631
1977Q2,33.232108222179505,-31.948003090184997
1977Q3,-30.985273948793324,56.15659101029442
1977Q4,86.49901209353004,-0.4040619379790278
1978Q1,-13.957993671984214,14.340926532895715
1978Q2,-16.21471131746599,6.712110134986782
1978Q3,-6.737104154236451,-29.824548160442312
1978Q4,1.8782375232106352,-37.187001250420856
1979Q1,20.85630408076917,7.693146255200567
1979Q2,9.889400730104448,33.897252997339656
1979Q3,-21.611054797297612,38.803793250927
1979Q4,9.016909050134391,-1.3214152525160228
1980Q1,31.578873460635283,9.929884379743736
1980Q2,10.215782122021878,-31.697156605980283
1980Q3,-25.906873772225136,32.41523664639667
1980Q4,2.6455510892931633,-10.927637773697164
1981Q1,-21.023374097491633,-30.27439280598867
1981Q2,-12.14288830571697,9.9090510465075
1981Q3,-9.99291022938712,43.9236015272183
1981Q4,38.63060319415397,-22.64149301853261
1982Q1,15.411482248483033,-22.35912829899266
1982Q2,-14.880229680807355,-32.50778441663341
1982Q3,2.8864985201205062,113.84222997056935
1982Q4,31.637837801700265,5.965971143384863
1983Q1,-2.3332649839951647,12.040483019354786
1983Q2,-20.059682342895435,9.371689830650176
1983Q3,-8.472146605476482,-28.614137870993517
1983Q4,-15.045506434830259,-36.41310795517416
1984Q1,-0.5648596711211207,-34.23470682377947
1984Q2,5.028512842786759,97.06169906221518
1984Q3,26.44506484497935,-27.38940824493026
1984Q4,-27.659430251715776,-31.144646535388443
1985Q1,27.633100718798474,98.87966433085535
1985Q2,8.838592294444725,55.3011845076991
1985Q3,40.48713892262974,-13.538938480142704
1985Q4,-21.142162566719403,-31.986564281969233
1986Q1,1.2634230184481066,-6.714108293353737
1986Q2,3.9744796348945455,-4.821288989247618
1986Q3,-5.987812609714915,14.341267815514968
1986Q4,1.8759174626302721,-5.374903606692749
1987Q1,35.419610058503046,0.13670572800414948
1987Q2,4.003121050717073,-15.297962039909008
1987Q3,-32.52609160063409,42.409761249912805
1987Q4,20.473907358849907,-26.36263452716007
1988Q1,17.46317989554371,-12.477913764339776
1988Q2,-31.26315585189976,-16.75837655613277
1988Q3,12.925685295897683,-18.835520003784467
1988Q4,16.45582513010213,8.282770771688263
1989Q1,-29.450934831134077,-21.510827568135362
1989Q2,13.551405095298152,-3.5378995336961094
1989Q3,-12.218148845144338,89.13179912829565
1989Q4,-5.00444416328738,1.571146858998107
1990Q1,-0.048269036935744136,6.261627698046612
1990Q2,16.4916449092825,20.59003394729291
1990Q3,-6.567756438129646,-5.544038025846964
1990Q4,0.07381561024883965,9.394453633766386
1991Q1,-9.079348769395324,-16.46701708005953
1991Q2,24.979049239042418,-25.373630979345975
1991Q3,-8.812251009357297,-9.598254645958992
1991Q4,4.685103261258194,40.74723239923876
1992Q1,8.989814839764154,-10.815336327400827
1992Q2,-11.053093027542559,-22.31465480799174
1992Q3,33.37580191307477,-12.756711005735822
1992Q4,7.163989272532434,-30.75140516238474
1993Q1,-5.46515772560785,62.00202324082298
1993Q2,-11.349353891374559,70.12062267033666
1993Q3,10.924281411231496,-20.94274738517752
1993Q4,46.25928033947808,45.92958518076819
1994Q1,-36.28819266773699,-23.76302616021635
