REF_DATE,Final consumption expenditure,Gross fixed capital formation,General governments final consumption expenditure,Exports of goods and services,Less: imports of goods and services
1995-10-01,-0.002265706755707697,0.004798514815680832,-0.009191434413654775,0.03704845794937839,0.010634073962833668
1996-01-01,0.010051803372379098,0.021789712320224197,0.0007290661843253332,0.0028030341118370217,0.02141237435642651
1996-04-01,0.001361376062565256,0.00025506950782272497,-8.904293689226961e-05,0.038073637364661295,-0.0015617962866176782
1996-07-01,-0.0010971620582118646,0.040027468725760684,-0.0153843308181969,0.020633290291899087,0.03789567849795894
1996-10-01,0.012685053392212708,0.04661313004353751,-0.002246461093548646,-0.027077331900683177,0.021288360216132673
1997-01-01,0.01468521825037783,0.01841257100595506,0.008097047811833846,0.05508084037936811,0.05913483643429096
1997-04-01,0.0043113271387529295,0.026710739728537547,-0.007462833436191474,0.012628992287158525,0.021949339100558518
1997-07-01,0.010159334130387165,0.029761554821067904,0.002047543245421224,0.028374271403999174,0.04120407468643705
1997-10-01,0.005030175486240296,0.009650554767102193,-0.00020423092897381423,0.017885010080219033,0.014522952783018184
1998-01-01,0.007348603880796389,-0.002084359073815989,0.026542233942967286,0.03203890801174225,0.012539768412906938
1998-04-01,0.006305783288111044,0.00222527559510155,-0.010297915089180876,0.011188788573406327,0.005404533724696847
1998-07-01,0.005162031092801556,0.0019812962324525785,0.0037945718113050475,0.020085534827419593,-0.022725659756149597
1998-10-01,0.001474343300495562,0.011107437793604902,-0.0026915439706698407,0.03846779433913028,0.039635389268434906
1999-01-01,0.013610120571573958,0.011030121060978004,0.011071280434245878,0.03587537047766354,0.018996274669499158
1999-04-01,0.009095052718816277,0.02520862270837476,0.006387808039614029,0.0014099955336153158,0.018585695089539556
1999-07-01,0.013143307940032045,0.008018598188654025,0.015731176995902985,0.034193420362933935,0.023847456477342988
1999-10-01,0.007484244973378296,0.02415774062654208,0.0013170496179100155,0.027120729991535697,0.050339563104088825
2000-01-01,0.010805454194100506,0.008937736574109678,0.011276336215779281,0.03275170462915433,0.021088581979855192
2000-04-01,0.009229698339668246,0.0068054962989734236,0.01096094958995053,0.014727119206934702,0.0057414211813267
2000-07-01,0.010615099874810241,0.011946168902815302,0.004665440526741449,0.00823831126206187,0.009747560845495329
2000-10-01,0.0032447652382892045,0.004496726421955088,0.006084391620062135,0.001787960271567357,-0.008787575315661655
2001-01-01,0.00905879772423468,0.02685464176811081,0.01272722779326152,-0.016903992812101976,-0.027022449413745875
2001-04-01,0.00458104077041277,0.013181270295806513,0.012486297542505298,-0.013024853090074728,-0.007052958190067571
2001-07-01,0.002774790687311679,0.01219545616713269,0.0028663484489594993,-0.021438440958755578,-0.02321845167552361
2001-10-01,0.009424338449758096,-0.027359021272866713,0.0013539385084904154,0.0035662574876909048,-0.024142940508822264
2002-01-01,0.012932347658237475,0.0025208488665366957,0.006929217831116219,0.016818814474202526,0.00609717067519
2002-04-01,0.010479533897870041,0.013400627159047218,0.004082018908814433,-0.001596498805383817,0.0469411121185761
2002-07-01,0.0041315470872689275,0.01552039300583452,0.009824174209301262,0.022394460127758364,0.01857344836970931
2002-10-01,0.009245590634458623,0.0027037752068448384,0.007550658704928992,-0.014106117304541144,-0.002325613705952634
2003-01-01,0.006174407252553138,0.008984627342789153,0.01090574988872639,-0.01614824312166796,0.008638822321133333
2003-04-01,0.007122407466241043,0.009920171142081102,0.003551749865600584,-0.020233578674876185,0.0019195100480651206
2003-07-01,0.007108928008738857,0.030936014141841994,0.0025777850479418163,0.012161847071999077,0.0015524612951338668
2003-10-01,0.0029510338516001156,0.022492531656215675,0.007832496547790058,0.031493237219457626,0.04615620995348557
2004-01-01,0.01101529570633275,0.023119093150201664,0.006438805114639123,-0.0009814610763196896,0.008865220374715932
2004-04-01,0.002788149248591054,0.015658690543597586,-0.0017995924091902538,0.04597171443777093,0.026603500232248223
2004-07-01,0.009132153771572504,0.01443480931785146,0.008186021193818505,-0.0032954089629111394,0.02831922213127669
2004-10-01,0.00753517808255566,0.016955028379056714,0.005398108718043915,-0.00972760373404924,0.01122154348977844
2005-01-01,0.009038132897234874,0.02678018260471049,-0.005370150923129202,0.00987169802960608,0.032903618496806786
2005-04-01,0.007359137822415818,0.02382648694618439,0.0035303725135342745,-0.0036494314604649247,-0.007380726443892982
2005-07-01,0.006536979101607443,0.02666561074791396,0.005639420780282123,0.01429545312399938,0.017421108067475544
2005-10-01,0.009970864155441461,0.021099999487491417,0.011080216832642265,0.02310058542317428,0.022964385252898012
2006-01-01,0.01133347778974425,0.018240029270161884,0.003994706386318825,-0.01343504605882373,0.009044106309206157
2006-04-01,0.009302974483711424,0.008835790281114697,0.010612987080858005,-0.0037793134889323454,0.026073325131816816
2006-07-01,0.008617724801268878,-0.00019726884746695816,0.0032401046201844252,-0.0005053229963625228,-0.0015077320727456822
2006-10-01,0.009035803937516462,0.005529167650900391,0.006250992877220085,0.007564752455810009,-0.0003235083980417386
2007-01-01,0.006796427252030668,0.01433219532227703,0.003998339798842565,0.010015617684937084,0.0214869517724825
2007-04-01,0.012190386621735882,0.007380025566488868,0.004666708798620078,0.015162366578838515,0.01578201479866692
2007-07-01,0.01045520772205144,0.004124707038259956,0.013852558914537738,-0.01861531400145111,0.02398176986917555
2007-10-01,0.01365497482435174,0.011895214561835843,0.0003398808358223704,-0.023548354888717427,0.020727768396685775
2008-01-01,0.008561562948230517,0.02262288290329373,0.008913190458361697,-0.014640775080996704,0.0012996304266650327
2008-04-01,0.007188240573025695,-0.006235817688191148,0.02159037602490521,0.009110595411277345,0.0072023840011397056
2008-07-01,0.0005914761416452308,-0.008644705855214596,-0.0003626408918613322,-0.00806536877351327,-0.027188461237374284
2008-10-01,-0.004743778641570273,-0.04212216733050589,0.01439152749939332,-0.04682870412062634,-0.06348052324549869
